年,区分00,区分01,国籍・地域,罪種00,罪種01,検挙人員,人数,検挙人員数_1万人あたり
2022,外国人,来日外国人以外,イタリア,計,計,2,1254,15.94896331738437
2022,外国人,来日外国人以外,イタリア,風俗犯,計,0,1254,0.0
2022,外国人,来日外国人以外,イラン,その他の刑法犯,計,6,2670,22.471910112359552
2022,外国人,来日外国人以外,イラン,凶悪犯,不同意性交等,0,2670,0.0
2022,外国人,来日外国人以外,イラン,凶悪犯,強盗,1,2670,3.7453183520599254
2022,外国人,来日外国人以外,イラン,凶悪犯,放火,0,2670,0.0
2022,外国人,来日外国人以外,イラン,凶悪犯,殺人,0,2670,0.0
2022,外国人,来日外国人以外,イラン,凶悪犯,計,1,2670,3.7453183520599254
2022,外国人,来日外国人以外,イラン,知能犯,計,0,2670,0.0
2022,外国人,来日外国人以外,イラン,窃盗犯,計,10,2670,37.453183520599254
2022,外国人,来日外国人以外,イラン,粗暴犯,計,5,2670,18.726591760299627
2022,外国人,来日外国人以外,イラン,計,計,23,2670,86.14232209737827
2022,外国人,来日外国人以外,イラン,風俗犯,計,1,2670,3.7453183520599254
2022,外国人,来日外国人以外,インド,その他の刑法犯,計,1,7212,1.3865779256794233
2022,外国人,来日外国人以外,インド,凶悪犯,不同意性交等,0,7212,0.0
2022,外国人,来日外国人以外,インド,凶悪犯,強盗,0,7212,0.0
2022,外国人,来日外国人以外,インド,凶悪犯,放火,0,7212,0.0
2022,外国人,来日外国人以外,インド,凶悪犯,殺人,0,7212,0.0
2022,外国人,来日外国人以外,インド,凶悪犯,計,0,7212,0.0
2022,外国人,来日外国人以外,インド,知能犯,計,2,7212,2.7731558513588466
2022,外国人,来日外国人以外,インド,窃盗犯,計,2,7212,2.7731558513588466
2022,外国人,来日外国人以外,インド,粗暴犯,計,3,7212,4.159733777038269
2022,外国人,来日外国人以外,インド,計,計,10,7212,13.865779256794232
2022,外国人,来日外国人以外,インド,風俗犯,計,2,7212,2.7731558513588466
