年,区分00,区分01,在留資格,罪種00,罪種01,検挙人員,推定検挙人員,対推定値倍率,日本人_対推定値倍率,対日本人倍率_年齢調整後
2015,外国人,来日外国人,短期滞在,知能犯,計,24.0,44.88464243647847,0.534704047914946,0.9717977719592977,0.5502215207150539
2015,外国人,来日外国人,短期滞在,窃盗犯,計,273.0,306.8915214069457,0.8895651425898968,0.9768925384859262,0.9106069578222217
2015,外国人,来日外国人,短期滞在,粗暴犯,計,61.0,170.094912829183,0.35862330616118404,0.9748866577499337,0.3678615388879123
2015,外国人,来日外国人,短期滞在,風俗犯,計,14.0,20.03520379603673,0.6987700321156411,0.9887561967984079,0.7067162101013963
2016,外国人,来日外国人,その他,その他の刑法犯,計,243.0,177.93042113899935,1.365702382113558,0.9781368943155181,1.3962282683031306
2016,外国人,来日外国人,その他,凶悪犯,計,42.0,25.124595624267734,1.6716686958110636,0.9649047635161316,1.7324701452602125
2016,外国人,来日外国人,その他,知能犯,計,77.0,73.63779109796,1.0456587419572005,0.9762685635782247,1.071076936170767
2016,外国人,来日外国人,その他,窃盗犯,計,682.0,404.9645325091319,1.6840981005777858,0.9773223654677903,1.723175648161598
2016,外国人,来日外国人,その他,粗暴犯,計,319.0,268.1264766053684,1.1897370376798253,0.978143271744298,1.2163218539122571
2016,外国人,来日外国人,その他,風俗犯,計,48.0,32.76867186254503,1.4648137160195547,0.9922686291326352,1.476226974241826
2016,外国人,来日外国人,定住者,その他の刑法犯,計,155.0,61.641248365216434,2.5145499825319084,0.9781368943155181,2.570754663427294
2016,外国人,来日外国人,定住者,凶悪犯,計,34.0,7.633887991757901,4.453824844785365,0.9649047635161316,4.615818071573759
2016,外国人,来日外国人,定住者,知能犯,計,59.0,21.27892154197587,2.7726969096442993,0.9762685635782247,2.840096478659311
2016,外国人,来日外国人,定住者,窃盗犯,計,472.0,150.3556015215345,3.1392245797533413,0.9773223654677903,3.2120666534125286
2016,外国人,来日外国人,定住者,粗暴犯,計,346.0,81.24613206533267,4.258664273663761,0.978143271744298,4.353824635596985
2016,外国人,来日外国人,定住者,風俗犯,計,21.0,9.90923054294298,2.11923619185099,0.9922686291326352,2.135748455237835
2016,外国人,来日外国人,技能実習,その他の刑法犯,計,98.0,124.21263498119473,0.7889696568697443,0.9781368943155181,0.8066045371101664
2016,外国人,来日外国人,技能実習,凶悪犯,計,21.0,17.001676511136314,1.2351723070512919,0.9649047635161316,1.280097636320397
