年,表示区分,国籍・地域,人口,総人口,構成比,構成比_pct
2024,技能実習,ペルー,52,425714,0.0001221477329850557,0.012214773298505571
2024,技能実習,南アフリカ共和国,51,425714,0.00011979873811995847,0.011979873811995848
2024,技能実習,メキシコ,49,425714,0.00011510074838976403,0.011510074838976403
2024,技能実習,東ティモール,14,425714,3.288592811136115e-05,0.0032885928111361148
2024,技能実習,台湾,8,425714,1.8791958920777798e-05,0.0018791958920777799
2024,技能実習,チェコ,7,425714,1.6442964055680575e-05,0.0016442964055680574
2024,技能実習,ブラジル,4,425714,9.395979460388899e-06,0.0009395979460388899
2024,技能実習,ウクライナ,2,425714,4.6979897301944495e-06,0.00046979897301944497
2024,技能実習,スロバキア,1,425714,2.3489948650972248e-06,0.00023489948650972248
2024,技能実習,無国籍,1,425714,2.3489948650972248e-06,0.00023489948650972248
2024,日本人の配偶者等,中国,26638,150208,0.17734075415423944,17.734075415423945
2024,日本人の配偶者等,フィリピン,26330,150208,0.17529026416702173,17.529026416702173
2024,日本人の配偶者等,ブラジル,15693,150208,0.10447512782275245,10.447512782275245
2024,日本人の配偶者等,米国,12861,150208,0.08562127183638688,8.562127183638687
2024,日本人の配偶者等,韓国,11909,150208,0.07928339369407754,7.9283393694077535
2024,日本人の配偶者等,タイ,7606,150208,0.050636450788240306,5.063645078824031
2024,日本人の配偶者等,ベトナム,6999,150208,0.046595387729015766,4.659538772901577
2024,日本人の配偶者等,台湾,4706,150208,0.03132988922028121,3.132988922028121
2024,日本人の配偶者等,英国,3072,150208,0.020451640391989774,2.0451640391989776
2024,日本人の配偶者等,インドネシア,2535,150208,0.016876597784405624,1.6876597784405625
2024,日本人の配偶者等,フランス,2530,150208,0.016843310609288453,1.6843310609288453
2024,日本人の配偶者等,オーストラリア,2076,150208,0.01382083510864934,1.3820835108649339
2024,日本人の配偶者等,カナダ,2003,150208,0.013334842351938644,1.3334842351938645
2024,日本人の配偶者等,ペルー,1625,150208,0.010818331913080528,1.0818331913080528
2024,日本人の配偶者等,ネパール,1405,150208,0.00935369620792501,0.9353696207925011
2024,日本人の配偶者等,スリランカ,1363,150208,0.009074083936940775,0.9074083936940776
2024,日本人の配偶者等,トルコ,1289,150208,0.008581433745206648,0.8581433745206648
2024,日本人の配偶者等,ロシア,1194,150208,0.0079489774179804,0.79489774179804
2024,日本人の配偶者等,パキスタン,1116,150208,0.007429697486152535,0.7429697486152534
2024,日本人の配偶者等,ドイツ,1070,150208,0.007123455475074563,0.7123455475074563
2024,日本人の配偶者等,イタリア,1059,150208,0.0070502236898167875,0.7050223689816787
2024,日本人の配偶者等,ミャンマー,758,150208,0.005046335747763102,0.5046335747763102
2024,日本人の配偶者等,メキシコ,696,150208,0.004633574776310183,0.4633574776310183
2024,日本人の配偶者等,スペイン,648,150208,0.004314017895185343,0.4314017895185343
2024,日本人の配偶者等,マレーシア,615,150208,0.004094322539412015,0.40943225394120153
2024,日本人の配偶者等,インド,589,150208,0.003921229228802727,0.3921229228802727
2024,日本人の配偶者等,ニュージーランド,577,150208,0.0038413400085215168,0.38413400085215166
2024,日本人の配偶者等,バングラデシュ,532,150208,0.003541755432466979,0.3541755432466979
2024,日本人の配偶者等,ボリビア,515,150208,0.0034285790370685984,0.3428579037068598
2024,日本人の配偶者等,ナイジェリア,504,150208,0.0033553472518108225,0.33553472518108224
2024,日本人の配偶者等,カンボジア,486,150208,0.003235513421389007,0.32355134213890074
2024,日本人の配偶者等,モンゴル,455,150208,0.003029132935662548,0.3029132935662548
2024,日本人の配偶者等,パラグアイ,419,150208,0.0027894652748189177,0.27894652748189175
2024,日本人の配偶者等,シンガポール,415,150208,0.002762835534725181,0.2762835534725181
2024,日本人の配偶者等,アルゼンチン,391,150208,0.002603057094162761,0.2603057094162761
2024,日本人の配偶者等,スウェーデン,345,150208,0.0022968150830847893,0.22968150830847892
2024,日本人の配偶者等,コロンビア,336,150208,0.0022368981678738816,0.22368981678738817
2024,日本人の配偶者等,イラン,320,150208,0.0021303792074989347,0.21303792074989347
2024,日本人の配偶者等,ポーランド,300,150208,0.0019972305070302516,0.19972305070302515
2024,日本人の配偶者等,オランダ,275,150208,0.0018307946314443972,0.1830794631444397
2024,日本人の配偶者等,ガーナ,258,150208,0.0017176182360460162,0.17176182360460163
2024,日本人の配偶者等,ウクライナ,246,150208,0.0016377290157648062,0.1637729015764806
2024,日本人の配偶者等,ルーマニア,243,150208,0.0016177567106945036,0.16177567106945037
2024,日本人の配偶者等,スイス,228,150208,0.001517895185342991,0.1517895185342991
2024,日本人の配偶者等,モロッコ,220,150208,0.0014646357051555177,0.14646357051555176
2024,日本人の配偶者等,セネガル,212,150208,0.0014113762249680444,0.14113762249680445
2024,日本人の配偶者等,アイルランド,197,150208,0.0013115146996165318,0.13115146996165317
2024,日本人の配偶者等,チュニジア,195,150208,0.0012981998295696635,0.12981998295696634
2024,日本人の配偶者等,ベルギー,194,150208,0.0012915423945462291,0.12915423945462293
2024,日本人の配偶者等,ラオス,171,150208,0.0011384213890072432,0.11384213890072432
2024,日本人の配偶者等,カメルーン,149,150208,0.0009919578184916914,0.09919578184916915
2024,日本人の配偶者等,ハンガリー,148,150208,0.0009853003834682573,0.09853003834682574
2024,日本人の配偶者等,チリ,144,150208,0.0009586706433745207,0.09586706433745207
2024,日本人の配偶者等,エジプト,138,150208,0.0009187260332339156,0.09187260332339156
2024,日本人の配偶者等,フィンランド,131,150208,0.0008721239880698764,0.08721239880698764
2024,日本人の配偶者等,ウズベキスタン,128,150208,0.0008521516829995739,0.08521516829995739
2024,日本人の配偶者等,ウガンダ,120,150208,0.0007988922028121006,0.07988922028121007
2024,日本人の配偶者等,イスラエル,115,150208,0.0007656050276949297,0.07656050276949297
2024,日本人の配偶者等,デンマーク,106,150208,0.0007056881124840222,0.07056881124840222
2024,日本人の配偶者等,オーストリア,103,150208,0.0006857158074137197,0.06857158074137197
2024,日本人の配偶者等,ポルトガル,88,150208,0.000585854282062207,0.0585854282062207
2024,日本人の配偶者等,ドミニカ共和国,86,150208,0.0005725394120153387,0.05725394120153387
2024,日本人の配偶者等,チェコ,85,150208,0.0005658819769919045,0.056588197699190455
2024,日本人の配偶者等,南アフリカ共和国,81,150208,0.0005392522368981679,0.05392522368981679
2024,日本人の配偶者等,ノルウェー,76,150208,0.000505965061780997,0.0505965061780997
2024,日本人の配偶者等,ジャマイカ,75,150208,0.0004993076267575629,0.04993076267575629
