年,表示区分,年代,人数,総人数,構成比,構成比_pct
2018,短期滞在,10代(14歳以上),22757.76420081449,463805.5313993227,0.04906747043777867,4.906747043777867
2018,短期滞在,20代,101150.3094728539,463805.5313993227,0.21808776011721712,21.80877601172171
2018,短期滞在,30代,110459.59236093303,463805.5313993227,0.23815928203286268,23.81592820328627
2018,短期滞在,40代,80764.01303730693,463805.5313993227,0.17413335454115472,17.413335454115472
2018,短期滞在,50代,62844.85105982046,463805.5313993227,0.1354982784923126,13.54982784923126
2018,短期滞在,60代,35809.55769382861,463805.5313993227,0.07720812985086556,7.720812985086556
2018,短期滞在,70代以上,12178.251352910902,463805.5313993227,0.026257236122580418,2.625723612258042
2018,その他,0~13歳,72856.35509241054,582892.2599292175,0.12499111774319617,12.499111774319617
2018,その他,10代(14歳以上),12940.97129374754,582892.2599292175,0.022201309201324793,2.2201309201324793
2018,その他,20代,193676.13212740855,582892.2599292175,0.3322674625168762,33.22674625168762
2018,その他,30代,202883.3149823044,582892.2599292175,0.3480631480797861,34.80631480797861
2018,その他,40代,68757.87573731813,582892.2599292175,0.11795983660113726,11.795983660113727
2018,その他,50代,22126.939441604405,582892.2599292175,0.037960599175379944,3.7960599175379945
2018,その他,60代,6861.442390876917,582892.2599292175,0.01177137330955488,1.177137330955488
2018,その他,70代以上,2789.2288635469918,582892.2599292175,0.004785153372744556,0.4785153372744556
2019,日本人,0~13歳,13945112.70508365,123731000.0,0.11270508364988281,11.270508364988281
2019,日本人,10代(14歳以上),6763054.659338882,123731000.0,0.0546593388830518,5.46593388830518
2019,日本人,20代,11823095.554837145,123731000.0,0.09555483714539723,9.555483714539722
2019,日本人,30代,13804111.565505536,123731000.0,0.11156550553624828,11.156550553624827
2019,日本人,40代,18180146.93283763,123731000.0,0.1469328376303241,14.693283763032412
2019,日本人,50代,16035129.596702496,123731000.0,0.1295967024973733,12.959670249737329
2019,日本人,60代,16104130.154368382,123731000.0,0.13015436838276892,13.015436838276893
2019,日本人,70代以上,27076218.83132628,123731000.0,0.21883132627495358,21.883132627495357
2019,永住者等,0~13歳,98909.0,1140899.0,0.0866939141852171,8.66939141852171
2019,永住者等,10代(14歳以上),42063.0,1140899.0,0.036868294213598225,3.6868294213598225
2019,永住者等,20代,84610.0,1140899.0,0.07416081528689218,7.416081528689218
2019,永住者等,30代,186606.0,1140899.0,0.1635604904553339,16.356049045533393
2019,永住者等,40代,260030.0,1140899.0,0.2279167568733078,22.79167568733078
2019,永住者等,50代,229899.0,1140899.0,0.20150688185369608,20.15068818536961
2019,永住者等,60代,131004.0,1140899.0,0.11482523869334621,11.48252386933462
2019,永住者等,70代以上,107778.0,1140899.0,0.0944676084386085,9.44676084386085
2019,定住者,0~13歳,47337.58299185812,199890.1391517934,0.23681800009109358,23.68180000910936
2019,定住者,10代(14歳以上),20184.352888910034,199890.1391517934,0.10097723166615216,10.097723166615216
2019,定住者,20代,37573.66909000077,199890.1391517934,0.18797159904655386,18.797159904655388
2019,定住者,30代,43331.66721778486,199890.1391517934,0.2167774128411581,21.677741284115807
2019,定住者,40代,29827.886998566697,199890.1391517934,0.14922140294232258,14.922140294232259
2019,定住者,50代,14979.697167292126,199890.1391517934,0.07493965050430418,7.493965050430418
2019,定住者,60代,4687.730731579667,199890.1391517934,0.023451535685909342,2.345153568590934
2019,定住者,70代以上,1967.5520658011333,199890.1391517934,0.009843167222506185,0.9843167222506185
2019,日本人の配偶者等,0~13歳,2049.296566745319,146192.0,0.01401784343018304,1.4017843430183041
2019,日本人の配偶者等,10代(14歳以上),1122.6226212250251,146192.0,0.0076790974966142135,0.7679097496614213
2019,日本人の配偶者等,20代,19562.209457855715,146192.0,0.1338117643773648,13.38117643773648
2019,日本人の配偶者等,30代,51554.91303073035,146192.0,0.35265208103542156,35.26520810354216
2019,日本人の配偶者等,40代,36319.90349468746,146192.0,0.24843974700864246,24.843974700864248
2019,日本人の配偶者等,50代,22820.876757466176,146192.0,0.15610209011071863,15.610209011071863
2019,日本人の配偶者等,60代,9733.138126020973,146192.0,0.06657777529564526,6.657777529564527
2019,日本人の配偶者等,70代以上,3029.0399452689776,146192.0,0.02071960124540999,2.071960124540999
2019,技能実習,0~13歳,0.0,377075.0,0.0,0.0
2019,技能実習,10代(14歳以上),20168.968124250427,377075.0,0.05348794835046192,5.348794835046192
2019,技能実習,20代,261603.86324512048,377075.0,0.6937714333889027,69.37714333889026
2019,技能実習,30代,82933.96014239521,377075.0,0.21994022447098113,21.994022447098114
2019,技能実習,40代,11875.982298502347,377075.0,0.031495013720088436,3.1495013720088436
2019,技能実習,50代,492.2261897315533,377075.0,0.0013053800695658777,0.13053800695658777
2019,技能実習,60代,0.0,377075.0,0.0,0.0
2019,技能実習,70代以上,0.0,377075.0,0.0,0.0
2019,留学,0~13歳,96.32778383064095,341555.0,0.00028202715179294975,0.028202715179294974
2019,留学,10代(14歳以上),42986.52702859162,341555.0,0.12585535866431943,12.585535866431943
2019,留学,20代,270751.036954463,341555.0,0.7927011373115984,79.27011373115984
2019,留学,30代,26103.815441431867,341555.0,0.07642638942902862,7.642638942902861
2019,留学,40代,1382.0502038017255,341555.0,0.0040463474515135935,0.40463474515135933
2019,留学,50代,193.66954433318352,341555.0,0.0005670230104468783,0.05670230104468783
2019,留学,60代,37.51713686035499,341555.0,0.00010984215385620174,0.010984215385620175
2019,留学,70代以上,4.055906687605946,341555.0,1.1874827443913705e-05,0.0011874827443913705
2019,短期滞在,0~13歳,41178.01603214275,502899.6051050937,0.08188118585525148,8.188118585525148
2019,短期滞在,10代(14歳以上),23799.23286083366,502899.6051050937,0.04732402375989181,4.732402375989181
2019,短期滞在,20代,107366.40960287036,502899.6051050937,0.2134947184546574,21.34947184546574
