年,表示区分,罪種00,検挙人員,総検挙人員,構成比,構成比_pct
2019,技能実習,その他の刑法犯,80.0,714.0,0.11204481792717087,11.204481792717088
2019,技能実習,凶悪犯,26.0,714.0,0.036414565826330535,3.6414565826330536
2019,技能実習,知能犯,38.0,714.0,0.05322128851540616,5.322128851540616
2019,技能実習,窃盗犯,502.0,714.0,0.7030812324929971,70.30812324929971
2019,技能実習,粗暴犯,61.0,714.0,0.08543417366946779,8.543417366946779
2019,技能実習,風俗犯,7.0,714.0,0.00980392156862745,0.9803921568627451
2019,留学,その他の刑法犯,295.0,1097.0,0.2689152233363719,26.89152233363719
2019,留学,凶悪犯,28.0,1097.0,0.02552415679124886,2.552415679124886
2019,留学,知能犯,107.0,1097.0,0.097538742023701,9.753874202370099
2019,留学,窃盗犯,468.0,1097.0,0.4266180492251595,42.66180492251595
2019,留学,粗暴犯,169.0,1097.0,0.15405651777575205,15.405651777575205
2019,留学,風俗犯,30.0,1097.0,0.027347310847766638,2.734731084776664
2019,短期滞在,その他の刑法犯,126.0,688.0,0.18313953488372092,18.313953488372093
2019,短期滞在,凶悪犯,18.0,688.0,0.02616279069767442,2.616279069767442
2019,短期滞在,知能犯,100.0,688.0,0.14534883720930233,14.534883720930234
2019,短期滞在,窃盗犯,348.0,688.0,0.5058139534883721,50.58139534883721
2019,短期滞在,粗暴犯,86.0,688.0,0.125,12.5
2019,短期滞在,風俗犯,10.0,688.0,0.014534883720930232,1.4534883720930232
2019,その他,その他の刑法犯,251.0,1454.0,0.17262723521320494,17.262723521320495
2019,その他,凶悪犯,41.0,1454.0,0.028198074277854195,2.8198074277854195
2019,その他,知能犯,97.0,1454.0,0.06671251719394773,6.671251719394773
2019,その他,窃盗犯,606.0,1454.0,0.4167812929848693,41.67812929848693
2019,その他,粗暴犯,401.0,1454.0,0.27579092159559837,27.57909215955984
2019,その他,風俗犯,58.0,1454.0,0.039889958734525444,3.988995873452544
2020,日本人,その他の刑法犯,24388.0,173053.0,0.14092792381524735,14.092792381524735
2020,日本人,凶悪犯,3992.0,173053.0,0.02306807740981087,2.3068077409810868
2020,日本人,知能犯,9905.0,173053.0,0.057236800286617394,5.7236800286617395
2020,日本人,窃盗犯,84234.0,173053.0,0.4867526133612246,48.67526133612246
2020,日本人,粗暴犯,45593.0,173053.0,0.2634626386136039,26.34626386136039
2020,日本人,風俗犯,4941.0,173053.0,0.028551946513495866,2.8551946513495867
2020,外国人計,その他の刑法犯,1567.0,9470.0,0.16546990496304118,16.54699049630412
