年,年代,罪種00,罪種01,検挙人員,人数,年代別検挙人員割合
2018,20代,窃盗犯,,14544,12759375.91029432,0.0011398676629838797
2018,20代,粗暴犯,,9797,12759375.91029432,0.0007678275229821967
2018,20代,風俗犯,,1162,12759375.91029432,9.10702849551202e-05
2018,30代,その他の刑法犯,,4565,14859327.827980278,0.00030721443478782764
2018,30代,凶悪犯,不同意性交等,266,14859327.827980278,1.7901213505709125e-05
2018,30代,凶悪犯,強盗,328,14859327.827980278,2.2073676804032306e-05
2018,30代,凶悪犯,放火,84,14859327.827980278,5.653014791276566e-06
2018,30代,凶悪犯,殺人,151,14859327.827980278,1.016196706527097e-05
2018,30代,知能犯,,2278,14859327.827980278,0.00015330437731580972
2018,30代,窃盗犯,,11440,14859327.827980278,0.0007698867763357609
2018,30代,粗暴犯,,10563,14859327.827980278,0.0007108666100030281
2018,30代,風俗犯,,1207,14859327.827980278,8.122843872703352e-05
2018,40代,その他の刑法犯,,4531,18916464.88072187,0.00023952678413066643
2018,40代,凶悪犯,不同意性交等,203,18916464.88072187,1.0731392005854178e-05
2018,40代,凶悪犯,強盗,269,18916464.88072187,1.4220416007757508e-05
2018,40代,凶悪犯,放火,100,18916464.88072187,5.286400002883832e-06
2018,40代,凶悪犯,殺人,177,18916464.88072187,9.356928005104382e-06
2018,40代,知能犯,,2253,18916464.88072187,0.00011910259206497273
2018,40代,窃盗犯,,13314,18916464.88072187,0.0007038312963839533
2018,40代,粗暴犯,,11688,18916464.88072187,0.0006178744323370622
2018,40代,風俗犯,,1171,18916464.88072187,6.190374403376967e-05
2018,50代,その他の刑法犯,,3429,16121921.316749813,0.00021269177119959348
2018,50代,凶悪犯,不同意性交等,85,16121921.316749813,5.272324453766534e-06
2018,50代,凶悪犯,強盗,181,16121921.316749813,1.1226949719196973e-05
2018,50代,凶悪犯,放火,99,16121921.316749813,6.14070730497514e-06
2018,50代,凶悪犯,殺人,104,16121921.316749813,6.450844037549642e-06
2018,50代,知能犯,,1820,16121921.316749813,0.00011288977065711872
2018,50代,窃盗犯,,11889,16121921.316749813,0.0007374431227156509
2018,50代,粗暴犯,,7087,16121921.316749813,0.00043958780475109917
2018,50代,風俗犯,,769,16121921.316749813,4.769902946995841e-05
2018,60代,その他の刑法犯,,2986,17018934.901164815,0.000175451637681253
2018,60代,凶悪犯,不同意性交等,40,17018934.901164815,2.3503233446919354e-06
2018,60代,凶悪犯,強盗,112,17018934.901164815,6.580905365137419e-06
2018,60代,凶悪犯,放火,60,17018934.901164815,3.525485017037903e-06
2018,60代,凶悪犯,殺人,111,17018934.901164815,6.52214728152012e-06
2018,60代,知能犯,,1161,17018934.901164815,6.821813507968342e-05
2018,60代,窃盗犯,,14048,17018934.901164815,0.0008254335586558077
2018,60代,粗暴犯,,5000,17018934.901164815,0.0002937904180864919
2018,60代,風俗犯,,481,17018934.901164815,2.8262638219920524e-05
2018,70代以上,その他の刑法犯,,2615,26235469.666795284,9.967422093874897e-05
2018,70代以上,凶悪犯,不同意性交等,13,26235469.666795284,4.955123794278151e-07
2018,70代以上,凶悪犯,強盗,68,26235469.666795284,2.5919109077762637e-06
2018,70代以上,凶悪犯,放火,60,26235469.666795284,2.2869802127437624e-06
2018,70代以上,凶悪犯,殺人,90,26235469.666795284,3.4304703191156433e-06
2018,70代以上,知能犯,,540,26235469.666795284,2.058282191469386e-05
2018,70代以上,窃盗犯,,23760,26235469.666795284,0.0009056441642465298
2018,70代以上,粗暴犯,,3966,26235469.666795284,0.00015116939206236268
2018,70代以上,風俗犯,,292,26235469.666795284,1.112997036868631e-05
2019,10代(14歳以上),その他の刑法犯,,3860,6926823.458983257,0.0005572539884777984
2019,10代(14歳以上),凶悪犯,不同意性交等,144,6926823.458983257,2.078874982922357e-05
2019,10代(14歳以上),凶悪犯,強盗,270,6926823.458983257,3.897890592979419e-05
2019,10代(14歳以上),凶悪犯,放火,31,6926823.458983257,4.475355866013407e-06
2019,10代(14歳以上),凶悪犯,殺人,48,6926823.458983257,6.929583276407856e-06
2019,10代(14歳以上),知能犯,,976,6926823.458983257,0.00014090152662029308
2019,10代(14歳以上),窃盗犯,,11019,6926823.458983257,0.0015907724608903784
2019,10代(14歳以上),粗暴犯,,3543,6926823.458983257,0.0005114898655898548
2019,10代(14歳以上),風俗犯,,519,6926823.458983257,7.492611917615994e-05
2019,20代,その他の刑法犯,,5957,12824453.124957735,0.0004645032378345281
2019,20代,凶悪犯,不同意性交等,386,12824453.124957735,3.0098749337607496e-05
2019,20代,凶悪犯,強盗,504,12824453.124957735,3.9299921414907194e-05
2019,20代,凶悪犯,放火,97,12824453.124957735,7.5636753516785676e-06
2019,20代,凶悪犯,殺人,187,12824453.124957735,1.4581518461483425e-05
2019,20代,知能犯,,2954,12824453.124957735,0.00023034120607070608
2019,20代,窃盗犯,,13231,12824453.124957735,0.0010317009131758674
2019,20代,粗暴犯,,9599,12824453.124957735,0.0007484919556779646
2019,20代,風俗犯,,1152,12824453.124957735,8.982839180550217e-05
