年,区分00,区分01,在留資格,罪種00,罪種01,推定検挙人員
2016,外国人,来日外国人,計,計,計,3828.147881020161
2016,外国人,永住者等,計,計,計,2010.4969376814622
2017,外国人,来日外国人,計,計,計,4136.8033159177385
2017,外国人,永住者等,計,計,計,1941.3711031586315
2018,外国人,来日外国人,計,計,計,4444.632447863681
2018,外国人,永住者等,計,計,計,1895.4719166113118
2019,外国人,来日外国人,計,計,計,4606.701635003277
2019,外国人,永住者等,計,計,計,1808.2805378916125
2020,外国人,来日外国人,計,計,計,3791.789050468516
2020,外国人,永住者等,計,計,計,1729.3076473428403
2021,外国人,来日外国人,計,計,計,3369.07493513905
2021,外国人,永住者等,計,計,計,1677.62853650323
2022,外国人,来日外国人,計,計,計,3588.7740065636076
2022,外国人,永住者等,計,計,計,1658.843551557133
2023,外国人,来日外国人,計,計,計,4972.603234824326
2023,外国人,永住者等,計,計,計,1829.7620802047854
2024,外国人,来日外国人,計,計,計,6356.462068608702
2024,外国人,永住者等,計,計,計,1942.4711783526834
2013,外国人,来日外国人,計,その他の刑法犯,計,673.6537569964157
2013,外国人,来日外国人,計,凶悪犯,計,75.24661315762685
2013,外国人,来日外国人,計,知能犯,計,207.6438507067867
2013,外国人,来日外国人,計,窃盗犯,計,1422.3050887299407
2013,外国人,来日外国人,計,粗暴犯,計,704.4104841209123
2013,外国人,来日外国人,計,風俗犯,計,90.55920049312026
2013,外国人,永住者等,計,その他の刑法犯,計,398.1782669284293
2013,外国人,永住者等,計,凶悪犯,計,42.29923859566233
2013,外国人,永住者等,計,知能犯,計,132.08707129192456
2013,外国人,永住者等,計,窃盗犯,計,1076.6933875793322
2013,外国人,永住者等,計,粗暴犯,計,484.7798072148589
2013,外国人,永住者等,計,風俗犯,計,57.16242885044725
2014,外国人,来日外国人,計,その他の刑法犯,計,653.0129815807895
2014,外国人,来日外国人,計,凶悪犯,計,78.51427012554605
2014,外国人,来日外国人,計,知能犯,計,213.50965560085118
2014,外国人,来日外国人,計,窃盗犯,計,1445.9802629208434
2014,外国人,来日外国人,計,粗暴犯,計,771.050165921706
2014,外国人,来日外国人,計,風俗犯,計,95.86572393381297
2014,外国人,永住者等,計,その他の刑法犯,計,366.06002061214997
2014,外国人,永住者等,計,凶悪犯,計,42.249808428753546
2014,外国人,永住者等,計,知能犯,計,128.99684780309283
2014,外国人,永住者等,計,窃盗犯,計,1035.4937709593328
2014,外国人,永住者等,計,粗暴犯,計,509.86865591964204
2014,外国人,永住者等,計,風俗犯,計,56.9584686875711
2015,外国人,来日外国人,計,その他の刑法犯,計,690.4656999565057
2015,外国人,来日外国人,計,凶悪犯,計,86.02282999550765
2015,外国人,来日外国人,計,知能犯,計,242.91033363401294
2015,外国人,来日外国人,計,窃盗犯,計,1546.169491532926
2015,外国人,来日外国人,計,粗暴犯,計,866.6690348793246
