年,区分00,区分01,在留資格,罪種00,罪種01,検挙人員
2018,外国人,永住者等,,凶悪犯,強盗,46.0
2018,外国人,永住者等,,凶悪犯,放火,5.0
2018,外国人,永住者等,,凶悪犯,殺人,19.0
2018,外国人,永住者等,,知能犯,,247.0
2018,外国人,永住者等,,窃盗犯,,1889.0
2018,外国人,永住者等,,粗暴犯,,1305.0
2018,外国人,永住者等,,風俗犯,,82.0
2018,日本人,,,その他の刑法犯,,28198.0
2018,日本人,,,凶悪犯,不同意性交等,1029.0
2018,日本人,,,凶悪犯,強盗,1591.0
2018,日本人,,,凶悪犯,放火,528.0
2018,日本人,,,凶悪犯,殺人,779.0
2018,日本人,,,知能犯,,11565.0
2018,日本人,,,窃盗犯,,97757.0
2018,日本人,,,粗暴犯,,49174.0
2018,日本人,,,風俗犯,,5408.0
2019,外国人,来日外国人,その他,その他の刑法犯,,251.0
2019,外国人,来日外国人,その他,凶悪犯,不同意性交等,12.0
2019,外国人,来日外国人,その他,凶悪犯,強盗,18.0
2019,外国人,来日外国人,その他,凶悪犯,殺人,11.0
2019,外国人,来日外国人,その他,知能犯,,97.0
2019,外国人,来日外国人,その他,窃盗犯,,606.0
2019,外国人,来日外国人,その他,粗暴犯,,401.0
2019,外国人,来日外国人,その他,風俗犯,,58.0
2019,外国人,来日外国人,定住者,その他の刑法犯,,109.0
2019,外国人,来日外国人,定住者,凶悪犯,不同意性交等,5.0
2019,外国人,来日外国人,定住者,凶悪犯,強盗,18.0
2019,外国人,来日外国人,定住者,凶悪犯,殺人,5.0
2019,外国人,来日外国人,定住者,知能犯,,48.0
2019,外国人,来日外国人,定住者,窃盗犯,,375.0
2019,外国人,来日外国人,定住者,粗暴犯,,350.0
2019,外国人,来日外国人,定住者,風俗犯,,22.0
2019,外国人,来日外国人,技能実習,その他の刑法犯,,80.0
2019,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,4.0
2019,外国人,来日外国人,技能実習,凶悪犯,強盗,8.0
2019,外国人,来日外国人,技能実習,凶悪犯,殺人,14.0
2019,外国人,来日外国人,技能実習,知能犯,,38.0
2019,外国人,来日外国人,技能実習,窃盗犯,,502.0
2019,外国人,来日外国人,技能実習,粗暴犯,,61.0
2019,外国人,来日外国人,技能実習,風俗犯,,7.0
2019,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,,70.0
2019,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,4.0
2019,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,9.0
2019,外国人,来日外国人,日本人の配偶者等,凶悪犯,放火,2.0
2019,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,1.0
2019,外国人,来日外国人,日本人の配偶者等,知能犯,,67.0
2019,外国人,来日外国人,日本人の配偶者等,窃盗犯,,229.0
2019,外国人,来日外国人,日本人の配偶者等,粗暴犯,,275.0
2019,外国人,来日外国人,日本人の配偶者等,風俗犯,,21.0
2019,外国人,来日外国人,留学,その他の刑法犯,,295.0
2019,外国人,来日外国人,留学,凶悪犯,不同意性交等,7.0
2019,外国人,来日外国人,留学,凶悪犯,強盗,10.0
2019,外国人,来日外国人,留学,凶悪犯,放火,1.0
2019,外国人,来日外国人,留学,凶悪犯,殺人,10.0
2019,外国人,来日外国人,留学,知能犯,,107.0
2019,外国人,来日外国人,留学,窃盗犯,,468.0
2019,外国人,来日外国人,留学,粗暴犯,,169.0
2019,外国人,来日外国人,留学,風俗犯,,30.0
2019,外国人,来日外国人,短期滞在,その他の刑法犯,,126.0
2019,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,2.0
2019,外国人,来日外国人,短期滞在,凶悪犯,強盗,7.0
2019,外国人,来日外国人,短期滞在,凶悪犯,放火,2.0
2019,外国人,来日外国人,短期滞在,凶悪犯,殺人,7.0
2019,外国人,来日外国人,短期滞在,知能犯,,100.0
2019,外国人,来日外国人,短期滞在,窃盗犯,,348.0
2019,外国人,来日外国人,短期滞在,粗暴犯,,86.0
