年,在留資格,性別,年齢,人口
2024,定住者,男,43歳,1687
2024,定住者,男,44歳,1596
2024,定住者,男,45歳,1502
2024,定住者,男,46歳,1459
2024,定住者,男,47歳,1381
2024,定住者,男,48歳,1284
2024,定住者,男,49歳,1189
2024,定住者,男,50歳,1003
2024,定住者,男,51歳,1053
2024,定住者,男,52歳,997
2024,定住者,男,53歳,831
2024,定住者,男,54歳,846
2024,定住者,男,55歳,721
2024,定住者,男,56歳,672
2024,定住者,男,57歳,611
2024,定住者,男,58歳,560
2024,定住者,男,59歳,526
2024,定住者,男,60歳,471
2024,定住者,男,61歳,440
2024,定住者,男,62歳,372
2024,定住者,男,63歳,299
2024,定住者,男,64歳,300
2024,定住者,男,65歳,222
2024,定住者,男,66歳,227
2024,定住者,男,67歳,177
2024,定住者,男,68歳,155
2024,定住者,男,69歳,150
2024,定住者,男,70歳,121
2024,定住者,男,71歳,86
2024,定住者,男,72歳,93
2024,定住者,男,73歳,83
2024,定住者,男,74歳,73
2024,定住者,男,75歳,64
2024,定住者,男,76歳,66
2024,定住者,男,77歳,48
2024,定住者,男,78歳,62
2024,定住者,男,79歳,56
2024,定住者,男,80歳以上,277
2024,家族滞在,女,00歳,5995
2024,家族滞在,女,01歳,6096
2024,家族滞在,女,02歳,5293
2024,家族滞在,女,03歳,5234
2024,家族滞在,女,04歳,4793
2024,家族滞在,女,05歳,4229
2024,家族滞在,女,06歳,3865
2024,家族滞在,女,07歳,3632
2024,家族滞在,女,08歳,3209
2024,家族滞在,女,09歳,3081
2024,家族滞在,女,10歳,2854
2024,家族滞在,女,11歳,2604
2024,家族滞在,女,12歳,2332
2024,家族滞在,女,13歳,1965
2024,家族滞在,女,14歳,1752
2024,家族滞在,女,15歳,1633
2024,家族滞在,女,16歳,1527
2024,家族滞在,女,17歳,1385
2024,家族滞在,女,18歳,1259
2024,家族滞在,女,19歳,1055
2024,家族滞在,女,20歳,1107
2024,家族滞在,女,21歳,1291
2024,家族滞在,女,22歳,1757
2024,家族滞在,女,23歳,2466
2024,家族滞在,女,24歳,3508
2024,家族滞在,女,25歳,4377
2024,家族滞在,女,26歳,5414
2024,家族滞在,女,27歳,6004
2024,家族滞在,女,28歳,6621
2024,家族滞在,女,29歳,6513
2024,家族滞在,女,30歳,6683
2024,家族滞在,女,31歳,6660
2024,家族滞在,女,32歳,6064
2024,家族滞在,女,33歳,5681
2024,家族滞在,女,34歳,5421
2024,家族滞在,女,35歳,4945
2024,家族滞在,女,36歳,4476
2024,家族滞在,女,37歳,4056
2024,家族滞在,女,38歳,3565
2024,家族滞在,女,39歳,3157
2024,家族滞在,女,40歳,2977
2024,家族滞在,女,41歳,2832
2024,家族滞在,女,42歳,2758
2024,家族滞在,女,43歳,2136
2024,家族滞在,女,44歳,2120
2024,家族滞在,女,45歳,1912
2024,家族滞在,女,46歳,1647
2024,家族滞在,女,47歳,1349
2024,家族滞在,女,48歳,1308
2024,家族滞在,女,49歳,1151
2024,家族滞在,女,50歳,1095
2024,家族滞在,女,51歳,1065
2024,家族滞在,女,52歳,865
2024,家族滞在,女,53歳,790
2024,家族滞在,女,54歳,664
2024,家族滞在,女,55歳,612
2024,家族滞在,女,56歳,496
2024,家族滞在,女,57歳,368
2024,家族滞在,女,58歳,345
2024,家族滞在,女,59歳,290
2024,家族滞在,女,60歳,285
2024,家族滞在,女,61歳,262
2024,家族滞在,女,62歳,151
2024,家族滞在,女,63歳,133
2024,家族滞在,女,64歳,102
2024,家族滞在,女,65歳,103
2024,家族滞在,女,66歳,98
2024,家族滞在,女,67歳,79
2024,家族滞在,女,68歳,46
2024,家族滞在,女,69歳,57
2024,家族滞在,女,70歳,41
2024,家族滞在,女,71歳,34
2024,家族滞在,女,72歳,29
2024,家族滞在,女,73歳,25
2024,家族滞在,女,74歳,12
2024,家族滞在,女,75歳,13
2024,家族滞在,女,76歳,8
2024,家族滞在,女,77歳,10
2024,家族滞在,女,78歳,3
2024,家族滞在,女,79歳,3
2024,家族滞在,女,80歳以上,10
2024,家族滞在,男,00歳,6499
2024,家族滞在,男,01歳,6525
2024,家族滞在,男,02歳,5734
2024,家族滞在,男,03歳,5523
2024,家族滞在,男,04歳,5149
2024,家族滞在,男,05歳,4561
2024,家族滞在,男,06歳,4234
2024,家族滞在,男,07歳,3870
2024,家族滞在,男,08歳,3379
2024,家族滞在,男,09歳,3346
2024,家族滞在,男,10歳,3085
2024,家族滞在,男,11歳,2898
2024,家族滞在,男,12歳,2648
2024,家族滞在,男,13歳,2214
2024,家族滞在,男,14歳,2086
2024,家族滞在,男,15歳,1948
2024,家族滞在,男,16歳,1823
2024,家族滞在,男,17歳,1693
2024,家族滞在,男,18歳,1450
2024,家族滞在,男,19歳,1159
2024,家族滞在,男,20歳,923
2024,家族滞在,男,21歳,812
2024,家族滞在,男,22歳,718
2024,家族滞在,男,23歳,712
2024,家族滞在,男,24歳,886
2024,家族滞在,男,25歳,921
2024,家族滞在,男,26歳,982
2024,家族滞在,男,27歳,1185
2024,家族滞在,男,28歳,1304
2024,家族滞在,男,29歳,1463
2024,家族滞在,男,30歳,1515
2024,家族滞在,男,31歳,1651
2024,家族滞在,男,32歳,1579
2024,家族滞在,男,33歳,1542
2024,家族滞在,男,34歳,1539
2024,家族滞在,男,35歳,1419
2024,家族滞在,男,36歳,1301
2024,家族滞在,男,37歳,1117
2024,家族滞在,男,38歳,1034
2024,家族滞在,男,39歳,867
2024,家族滞在,男,40歳,787
2024,家族滞在,男,41歳,777
2024,家族滞在,男,42歳,714
2024,家族滞在,男,43歳,570
2024,家族滞在,男,44歳,509
2024,家族滞在,男,45歳,485
2024,家族滞在,男,46歳,419
2024,家族滞在,男,47歳,348
2024,家族滞在,男,48歳,357
2024,家族滞在,男,49歳,315
2024,家族滞在,男,50歳,317
2024,家族滞在,男,51歳,303
2024,家族滞在,男,52歳,286
2024,家族滞在,男,53歳,237
2024,家族滞在,男,54歳,215
2024,家族滞在,男,55歳,205
2024,家族滞在,男,56歳,164
2024,家族滞在,男,57歳,122
2024,家族滞在,男,58歳,112
2024,家族滞在,男,59歳,103
2024,家族滞在,男,60歳,111
2024,家族滞在,男,61歳,129
2024,家族滞在,男,62歳,77
2024,家族滞在,男,63歳,61
2024,家族滞在,男,64歳,47
2024,家族滞在,男,65歳,49
2024,家族滞在,男,66歳,34
2024,家族滞在,男,67歳,40
2024,家族滞在,男,68歳,26
2024,家族滞在,男,69歳,19
2024,家族滞在,男,70歳,39
2024,家族滞在,男,71歳,19
2024,家族滞在,男,72歳,9
2024,家族滞在,男,73歳,8
2024,家族滞在,男,74歳,12
2024,家族滞在,男,75歳,9
2024,家族滞在,男,76歳,2
2024,家族滞在,男,77歳,7
2024,家族滞在,男,78歳,7
2024,家族滞在,男,79歳,3
2024,家族滞在,男,80歳以上,14
2024,技能,女,22歳,1
2024,技能,女,25歳,3
2024,技能,女,26歳,2
2024,技能,女,27歳,18
2024,技能,女,28歳,43
2024,技能,女,29歳,53
2024,技能,女,30歳,87
2024,技能,女,31歳,86
2024,技能,女,32歳,84
2024,技能,女,33歳,101
2024,技能,女,34歳,103
2024,技能,女,35歳,133
2024,技能,女,36歳,115
2024,技能,女,37歳,115
2024,技能,女,38歳,125
2024,技能,女,39歳,117
2024,技能,女,40歳,109
2024,技能,女,41歳,136
2024,技能,女,42歳,160
2024,技能,女,43歳,132
2024,技能,女,44歳,187
2024,技能,女,45歳,159
2024,技能,女,46歳,162
2024,技能,女,47歳,160
2024,技能,女,48歳,159
2024,技能,女,49歳,148
2024,技能,女,50歳,173
2024,技能,女,51歳,151
2024,技能,女,52歳,159
2024,技能,女,53歳,133
2024,技能,女,54歳,108
2024,技能,女,55歳,93
2024,技能,女,56歳,73
2024,技能,女,57歳,61
2024,技能,女,58歳,46
2024,技能,女,59歳,34
2024,技能,女,60歳,50
2024,技能,女,61歳,29
2024,技能,女,62歳,18
2024,技能,女,63歳,17
2024,技能,女,64歳,16
2024,技能,女,65歳,9
2024,技能,女,66歳,15
2024,技能,女,67歳,7
2024,技能,女,68歳,6
2024,技能,女,69歳,5
2024,技能,女,70歳,6
2024,技能,女,71歳,4
2024,技能,女,72歳,4
2024,技能,女,73歳,1
2024,技能,女,74歳,2
2024,技能,女,76歳,3
2024,技能,女,79歳,1
2024,技能,男,20歳,2
2024,技能,男,21歳,3
2024,技能,男,22歳,7
2024,技能,男,23歳,3
2024,技能,男,24歳,28
2024,技能,男,25歳,69
2024,技能,男,26歳,131
2024,技能,男,27歳,283
2024,技能,男,28歳,502
2024,技能,男,29歳,629
2024,技能,男,30歳,731
2024,技能,男,31歳,831
2024,技能,男,32歳,953
2024,技能,男,33歳,1019
2024,技能,男,34歳,1199
2024,技能,男,35歳,1449
2024,技能,男,36歳,1722
2024,技能,男,37歳,1825
2024,技能,男,38歳,1760
2024,技能,男,39歳,1767
2024,技能,男,40歳,1726
2024,技能,男,41歳,1848
2024,技能,男,42歳,2002
2024,技能,男,43歳,1804
2024,技能,男,44歳,1913
2024,技能,男,45歳,1896
2024,技能,男,46歳,1720
2024,技能,男,47歳,1568
2024,技能,男,48歳,1473
2024,技能,男,49歳,1433
2024,技能,男,50歳,1230
2024,技能,男,51歳,1193
2024,技能,男,52歳,1097
2024,技能,男,53歳,970
2024,技能,男,54歳,847
2024,技能,男,55歳,666
2024,技能,男,56歳,560
2024,技能,男,57歳,416
2024,技能,男,58歳,352
2024,技能,男,59歳,297
2024,技能,男,60歳,228
2024,技能,男,61歳,192
2024,技能,男,62歳,116
2024,技能,男,63歳,100
