年,在留資格,年代,人数
2023,日本人の配偶者等,0~13歳,20.164900923445003
2023,日本人の配偶者等,10代(14歳以上),13.584640073984405
2023,日本人の配偶者等,20代,201.4176719389628
2023,日本人の配偶者等,30代,627.5538223014048
2023,日本人の配偶者等,40代,493.930830012648
2023,日本人の配偶者等,50代,319.5025092140515
2023,日本人の配偶者等,60代,155.5871832882262
2023,日本人の配偶者等,70代以上,58.25844224727647
2023,留学,0~13歳,1.0054655526352845
2023,留学,10代(14歳以上),229.88319669451727
2023,留学,20代,1898.5415473528683
2023,留学,30代,198.13044103610125
2023,留学,40代,17.33084899122621
2023,留学,50代,2.594254631990412
2023,留学,60代,0.4758691928501636
2023,留学,70代以上,0.03837654781051008
2023,短期滞在,0~13歳,3703.0559411514896
2023,短期滞在,10代(14歳以上),2418.2050911036226
2023,短期滞在,20代,10553.481186514817
2023,短期滞在,30代,11159.891429540598
2023,短期滞在,40代,7594.098484668051
2023,短期滞在,50代,6566.9437941211145
2023,短期滞在,60代,5244.527814906589
2023,短期滞在,70代以上,2244.7962579936925
2024,その他,0~13歳,1122.7862111019112
2024,その他,10代(14歳以上),208.9519798638932
2024,その他,20代,4144.648807959824
2024,その他,30代,4137.734358788406
2024,その他,40代,1210.0763567189874
2024,その他,50代,389.6062899834339
2024,その他,60代,115.52096295231246
2024,その他,70代以上,42.97654871737811
2024,定住者,0~13歳,473.9644799435689
2024,定住者,10代(14歳以上),222.7999788950496
2024,定住者,20代,355.58796408758985
2024,定住者,30代,396.57804121980945
2024,定住者,40代,355.6452661525463
2024,定住者,50代,205.23689598588092
2024,定住者,60代,76.60331050268734
2024,定住者,70代以上,26.282547126716715
2024,技能実習,10代(14歳以上),679.015456386212
2024,技能実習,20代,8277.540235933044
2024,技能実習,30代,2416.627458810374
2024,技能実習,40代,375.8662294404216
2024,技能実習,50代,52.61794538117101
2024,技能実習,60代,0.3326740487745294
2024,日本人の配偶者等,0~13歳,19.14001917341278
2024,日本人の配偶者等,10代(14歳以上),13.420590115040357
2024,日本人の配偶者等,20代,186.24518001704303
2024,日本人の配偶者等,30代,616.4817053685555
2024,日本人の配偶者等,40代,500.525298253089
2024,日本人の配偶者等,50代,319.00868129527055
2024,日本人の配偶者等,60代,164.1200202386024
2024,日本人の配偶者等,70代以上,65.05850553898586
2024,留学,0~13歳,1.7865752911777675
2024,留学,10代(14歳以上),279.4479623645847
2024,留学,20代,1928.7788024059319
2024,留学,30代,189.6265759423096
2024,留学,40代,17.570179793753844
2024,留学,50代,3.271009172818428
2024,留学,60代,0.4597804058177259
2024,留学,70代以上,0.0591146236051537
2024,短期滞在,0~13歳,3872.436187197936
2024,短期滞在,10代(14歳以上),2510.1884088359284
2024,短期滞在,20代,10191.72773672229
2024,短期滞在,30代,10965.892254125492
2024,短期滞在,40代,7503.52582085194
2024,短期滞在,50代,6142.478813789051
2024,短期滞在,60代,4994.930378890967
2024,短期滞在,70代以上,2161.8203995863764
