調査年度,能力項目,在留資格,回答者数,選択肢順,選択肢,割合,割合_pct,出典ファイル,出典ページ,出典表
2024,読む,永住者,2088,4,簡単で短い文章を読むことができる,0.216,21.6,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,永住者,2088,5,掲示等の名前や言葉なら読むことができる,0.127,12.7,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,永住者,2088,6,全く分からない,0.082,8.2,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,日本人の配偶者等,455,1,どんな内容の文章でも容易に読むことができる,0.132,13.2,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,日本人の配偶者等,455,2,新聞記事などを読むことができる,0.092,9.2,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,日本人の配偶者等,455,3,日常生活のEメールなどを読むことができる,0.237,23.7,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,日本人の配偶者等,455,4,簡単で短い文章を読むことができる,0.288,28.8,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,日本人の配偶者等,455,5,掲示等の名前や言葉なら読むことができる,0.152,15.2,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,日本人の配偶者等,455,6,全く分からない,0.099,9.9,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,定住者,462,1,どんな内容の文章でも容易に読むことができる,0.117,11.7,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,定住者,462,2,新聞記事などを読むことができる,0.056,5.6,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,定住者,462,3,日常生活のEメールなどを読むことができる,0.128,12.8,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,定住者,462,4,簡単で短い文章を読むことができる,0.24,24.0,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,定住者,462,5,掲示等の名前や言葉なら読むことができる,0.24,24.0,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,定住者,462,6,全く分からない,0.219,21.9,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,その他,412,1,どんな内容の文章でも容易に読むことができる,0.143,14.3,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,その他,412,2,新聞記事などを読むことができる,0.138,13.8,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
